src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.68.1,192.168.68.255,138,138,00:50:56:c0:00:08,ff:ff:ff:ff:ff:ff,17,2024-12-11 00:51:46,0.0,0,0,0,0,1,0,243,0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,243,243,243.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,243.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0,1,0,243,0
192.168.68.1,224.0.0.251,5353,5353,00:50:56:c0:00:08,01:00:5e:00:00:fb,17,2024-12-11 00:51:54,4091667.652130127,195.5193011787062,1.9551930117870622,1.9551930117870622,0.0,8,0,800,0,119.0,81.0,100.0,19.0,0.0,0.0,0.0,0.0,119,81,100.0,19.0,361.0,64,0,8,8,584523.9503043039,4033163.30909729,2762.317657470703,1407961.5099198292,4091667.652130127,4033163.30909729,2762.317657470703,584523.9503043039,1407961.5099198292,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,4.0,0.0,0.0,7931.035132546815,0.0,100.0,0.0,0,8,0,800,0
192.168.68.1,224.0.0.252,58113,5355,00:50:56:c0:00:08,01:00:5e:00:00:fc,17,2024-12-11 00:51:54,0.0,0,0,0,0,1,0,75,0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,75,75,75.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0,1,0,75,0
192.168.68.1,192.168.68.254,68,67,00:50:56:c0:00:08,00:50:56:e8:c9:05,17,2024-12-11 00:51:58,0.2384185791015625,2936012800.0,8388608.0,4194304.0,4194304.0,1,1,358,342,358.0,358.0,358.0,0.0,342.0,342.0,342.0,0.0,358,342,350.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,350.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,342.0,0,1,1,358,342
192.168.68.1,224.0.0.252,60069,5355,00:50:56:c0:00:08,01:00:5e:00:00:fc,17,2024-12-11 00:51:58,0.0,0,0,0,0,1,0,75,0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,75,75,75.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0,1,0,75,0
192.168.68.129,224.0.0.251,5353,5353,00:0c:29:3d:d9:99,01:00:5e:00:00:fb,17,2024-12-11 00:52:26,0.0,0,0,0,0,1,0,87,0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,87,87,87.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0,1,0,87,0
192.168.68.129,192.168.68.254,68,67,00:0c:29:3d:d9:99,00:50:56:e8:c9:05,17,2024-12-11 00:52:27,336155.89141845703,1987.1732641105295,5.94962055122913,2.974810275614565,2.974810275614565,1,1,326,342,326.0,326.0,326.0,0.0,342.0,342.0,342.0,0.0,342,326,334.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,334.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,342.0,0,1,1,326,342
192.168.68.129,192.168.68.2,60226,53,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,6,2024-12-11 00:59:28,208940.98281860352,7341.786083832937,67.00456660603723,33.502283303018615,33.502283303018615,7,7,500,1034,103.0,54.0,71.42857142857143,21.552972236907323,439.0,60.0,147.71428571428572,143.92926267115115,439,54,109.57142857142857,109.74952930957595,12044.95918367347,140,140,20,2,16072.383293738732,142315.86456298828,30.755996704101562,39389.73479566878,208522.55821228027,142658.47206115723,293.97010803222656,34753.759702046715,52272.675791073816,205276.9660949707,142420.76873779297,202.41737365722656,34212.82768249512,52481.77347363506,0,0,0,0,1,0,0,0,0,0,0,1.0,109.57142857142857,64240,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,6.0,0.0,3180.219931479924,71.42857142857143,147.71428571428572,0,7,7,500,1034
192.168.68.129,185.125.190.18,57030,80,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,6,2024-12-11 00:59:28,392798.66218566895,2189.4168254409515,25.458335179545948,12.729167589772974,12.729167589772974,5,5,377,483,141.0,54.0,75.4,33.70222544580699,243.0,60.0,96.6,73.2,243,54,86.0,57.96033126199332,3359.4,100,100,20,1,43644.295798407664,197669.98291015625,94.41375732421875,80050.71423097808,392006.63566589355,197969.6750640869,648.2601165771484,98001.65891647339,97098.6716404618,195128.6792755127,189027.0709991455,555.0384521484375,48782.169818878174,80985.42716806609,0,0,0,0,1,0,0,0,0,0,0,1.0,86.0,64240,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,4.0,0.0,1086.261942713012,75.4,96.6,0,5,5,377,483
192.168.68.1,192.168.68.255,138,138,00:50:56:c0:00:08,ff:ff:ff:ff:ff:ff,17,2024-12-11 01:03:47,0.0,0,0,0,0,1,0,243,0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,243,243,243.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,243.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0,1,0,243,0
192.168.68.129,192.168.68.2,50572,53,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,6,2024-12-11 01:04:28,212851.76277160645,4801.463641607814,46.981053244694856,23.490526622347428,23.490526622347428,5,5,343,679,103.0,54.0,68.6,19.5509590557599,439.0,60.0,135.8,151.6,439,54,102.2,113.18727843711059,12811.36,100,100,20,1,23650.195863511828,198006.62994384766,36.95487976074219,61704.91993766951,212447.8816986084,198333.9786529541,108.95729064941406,53111.9704246521,83895.25464866478,204838.51432800293,198043.5848236084,566.0057067871094,51209.62858200073,84797.75490940541,0,0,0,0,1,0,0,0,0,0,0,1.0,102.2,64240,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,4.0,0.0,1972.8548042031744,68.6,135.8,0,5,5,343,679
192.168.68.129,192.168.68.2,34882,53,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,17,2024-12-11 01:04:28,9123.086929321289,42967.91240036587,219.22404285900953,109.61202142950476,109.61202142950476,1,1,100,292,100.0,100.0,100.0,0.0,292.0,292.0,292.0,0.0,292,100,196.0,96.0,9216.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,196.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,292.0,0,1,1,100,292
192.168.68.129,91.189.91.97,58192,80,00:0c:29:3d:d9:99,00:50:56:f0:cf:d7,6,2024-12-11 01:04:28,525573.9688873291,1411.7898600854558,15.221454017093862,7.610727008546931,7.610727008546931,4,4,323,419,141.0,54.0,80.75,35.73076405564258,239.0,60.0,104.75,77.50927363870726,239,54,92.75,61.532003867906006,3786.1875,80,80,20,1,75081.99555533273,262516.0217285156,100.85105895996094,118083.44251275544,525182.9624176025,262616.8727874756,188.35067749023438,175060.98747253418,123653.66586016568,263057.9471588135,261057.61528015137,713.348388671875,87685.98238627116,122592.48096444072,0,0,0,0,1,0,0,0,0,0,0,1.0,92.75,64240,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.75,104.75,0,4,4,323,419
